"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
b2_unit_type,reconsent_screening_form_appendix_b,,dropdown,"2. Unit Type","1, Short-term stay | 2, Long-term care",,,,,,[b2_p_type]='1',y,,,,,
b2_unit_r,reconsent_screening_form_appendix_b,,dropdown,"3. Resident Unit:","1, Unit 1 | 2, Unit 2 | 3, Unit 3 | 4, Unit 4 | 5, Unit 5 | 6, Unit 6 | 7, Unit 7 | 8, Unit 8 | 9, Unit 9 | 10, Unit 10",,,,,,"[b2_p_type] = '1'",,,,,,
b2_lname,reconsent_screening_form_appendix_b,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">B. Contact Information for Participant</span></h6></div>",text,"1. Last Name",,,,,,y,[b2_p_type]<>'',y,,,,," @DEFAULT='[b_lname]'"
b2_fname,reconsent_screening_form_appendix_b,,text,"2. First Name",,,,,,y,[b2_p_type]<>'',y,,,,," @DEFAULT='[b_fname]'"
b2_phone,reconsent_screening_form_appendix_b,,text,"3. Mobile phone",,,phone,,,y,[b2_p_type]<>'',y,,,,," @DEFAULT='[b_phone]'"
b2_alt_phone,reconsent_screening_form_appendix_b,,text,"4. Alternative phone",,,phone,,,y,[b2_p_type]<>'',,,,,," @DEFAULT='[b_alt_phone]'"
b2_email,reconsent_screening_form_appendix_b,,text,"5. Email address",,,email,,,y,[b2_p_type]<>'',y,,,,," @DEFAULT='[b_email]'"
b2_contact_method,reconsent_screening_form_appendix_b,,radio,"6. Preferred contact method","1, Email | 2, SMS Text | 3, Phone",,,,,,[b2_p_type]='2',y,,,,," @DEFAULT='[b_contact_method:value]'"
b2_assist,reconsent_screening_form_appendix_b,,radio,"7. Does the participant have a designated legal guardian required to assist with screening and provide informed consent? ","1, Yes | 0, No",,,,,,[b2_p_type]='1',y,LH,,,,
b2_lname_g,reconsent_screening_form_appendix_b,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">C. Contact Information for Participant's Legal Guardian if Applicable</span></h6></div>",text,"1. Last Name",,,,,,y,[b2_assist]='1',,,,,," @PLACEHOLDER='Last'"
b2_fname_g,reconsent_screening_form_appendix_b,,text,"2. First Name",,,,,,y,[b2_assist]='1',,,,,," @PLACEHOLDER='First'"
b2_phone_g,reconsent_screening_form_appendix_b,,text,"3. Mobile phone",,,phone,,,y,[b2_assist]='1',,,,,," @PLACEHOLDER='999-999-9999'"
b2_alt_phone_g,reconsent_screening_form_appendix_b,,text,"4. Alternative phone",,,phone,,,y,[b2_assist]='1',,,,,," @PLACEHOLDER='999-999-9999'"
b2_email_g,reconsent_screening_form_appendix_b,,text,"5. Email address",,,email,,,y,[b2_assist]='1',,,,,,
b2_contact_method_g,reconsent_screening_form_appendix_b,,radio,"6. Preferred contact method","1, Email | 2, SMS Text | 3, Phone",,,,,,[b2_assist]='1',,,,,,
b2_contact1_date,reconsent_screening_form_appendix_b,"<h6><span style=""text-decoration: underline;"">D. Documented Contact Attempts for Screening </span></h6> <p><span style=""font-weight: normal;""><i>(For participants who require a legal guardian, contact should be made with the legal guardian, NOT the participant.)</i></span></p> <p><br />CONTACT ATTEMPT 1</p>",text,"1. Contact Attempt 1 Date:",,mm-dd-yyyy,date_mdy,[b2_date],today,,[b2_p_type]<>'',,,,,," @FORCE-MINMAX"
b2_contact1_time,reconsent_screening_form_appendix_b,,text,"1. Contact Attempt 1 Time:",,"24-hour time format",time,,,,[b2_p_type]<>'',,,,,,
b2_contact1_mode,reconsent_screening_form_appendix_b,,radio,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">a. Mode of Contact #1</p></div>","1, Email | 2, SMS text | 3, Phone call | 4, In-person",,,,,,[b2_contact1_date]<>'',,,,,,
b2_staff1,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">b. Interviewer Initials #1:</p></div>",,,alpha_only,,,,[b2_contact1_date]<>'',,,,,," @CHARLIMIT='3'"
b2_calctext_1,reconsent_screening_form_appendix_b,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;"">E. INTRODUCTION</span></h6></div>",text,"[you are/the resident is]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([b2_p_type]='2' OR ([b2_p_type]='1' and [b2_assist]='0'), 'you are', if([b2_p_type]='1' and [b2_assist]='1','the resident is', '[you are/the resident is]')))"
b2_calctext_2,reconsent_screening_form_appendix_b,,text,"[Are you/Is the resident]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([b2_p_type]='2' OR ([b2_p_type]='1' and [b2_assist]='0'), 'Are you', if([b2_p_type]='1' and [b2_assist]='1','Is the resident', '[Are you/Is the resident]')))"
b2_calctext_3,reconsent_screening_form_appendix_b,,text,"[you/the resident]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([b2_p_type]='2' OR ([b2_p_type]='1' and [b2_assist]='0'), 'you', if([b2_p_type]='1' and [b2_assist]='1','the resident', '[you/the resident]')))"
b2_calctext_4,reconsent_screening_form_appendix_b,,text,[your/their],,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([b2_p_type]='2' OR ([b2_p_type]='1' and [b2_assist]='0'), 'your', if([b2_p_type]='1' and [b2_assist]='1','their', '[your/their]')))"
b2_calctext_5,reconsent_screening_form_appendix_b,,text,"[You are/The resident is]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([b2_p_type]='2' OR ([b2_p_type]='1' and [b2_assist]='0'), 'You are', if([b2_p_type]='1' and [b2_assist]='1','The resident is', '[You are/The resident is]')))"
b2_calctext_6,reconsent_screening_form_appendix_b,,text,"[You/The resident]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([b2_p_type]='2' OR ([b2_p_type]='1' and [b2_assist]='0'), 'You', if([b2_p_type]='1' and [b2_assist]='1','The resident', '[You/The resident]')))"
b2_contact1_comp,reconsent_screening_form_appendix_b,,radio,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">c. Was contact made on first attempt?</p></div>","1, Yes | 2, Yes, but asked for reschedule | 0, No",,,,,,[b2_contact1_date]<>'',,RH,,,,
b2_resch_date_1,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 80px;"">i. Reschedule Date:</p></div>",,mm-dd-yyyy,date_mdy,[b2_contact1_date],,,[b2_contact1_comp]='2',,,,,," @FORCE-MINMAX"
b2_resch_time_1,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 80px;"">i. Reschedule Time:</p></div>",,"24-hour time format",time,,,,[b2_contact1_comp]='2',,,,,,
b2_contact2_date,reconsent_screening_form_appendix_b,"CONTACT ATTEMPT 2",text,"2. Contact Attempt 2 Date:",,mm-dd-yyyy,date_mdy,[b2_contact1_date],today,,"[b2_contact1_comp]='0'  OR [b2_contact1_comp]='2' ",,,,,," @FORCE-MINMAX"
b2_contact2_time,reconsent_screening_form_appendix_b,,text,"2. Contact Attempt 2 Time:",,"24-hour time format",time,,,,"[b2_contact1_comp]='0'  OR [b2_contact1_comp]='2' ",,,,,,
b2_contact2_mode,reconsent_screening_form_appendix_b,,radio,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">a. Mode of Contact #2</p></div>","1, Email | 2, SMS text | 3, Phone call | 4, In-person",,,,,,[b2_contact2_date]<>'',,,,,,
b2_staff_2,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">b. Interviewer Initials #2:</p></div>",,,alpha_only,,,,[b2_contact2_date]<>'',,,,,," @CHARLIMIT='3'"
b2_contact2_comp,reconsent_screening_form_appendix_b,,radio,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">c. Was contact made on second attempt?</p></div>","1, Yes | 2, Yes, but asked for reschedule | 0, No",,,,,,[b2_contact2_date]<>'',,RH,,,,
b2_resch_date_2,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 80px;"">i. Reschedule Date:</p></div>",,mm-dd-yyyy,date_mdy,[b2_contact2_date],,,[b2_contact2_comp]='2',,,,,," @FORCE-MINMAX"
b2_resch_time_2,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 80px;"">i. Reschedule Time:</p></div>",,"24-hour time format",time,,,,[b2_contact2_comp]='2',,,,,,
b2_positive_atmpt,reconsent_screening_form_appendix_b,"CONTACT ATTEMPT 3
[Only for individuals with positive result] ",radio,"Does this individual has a  positive result?","1, Yes | 2, No",,,,,,"[b2_contact1_comp]='1' or [b2_contact2_comp]='1' or [b2_contact3_comp]='1' or [b2_contact1_comp]='2' or [b2_contact2_comp]='2' or [b2_contact3_comp]='2'",,,,,,
b2_contact3_date,reconsent_screening_form_appendix_b,,text,"3. Contact Attempt 3 Date:",,mm-dd-yyyy,date_mdy,[b2_contact2_date],today,,"([b2_contact2_comp]='0' OR [b2_contact2_comp]='2') and [b2_positive_atmpt]='1'",,,,,," @FORCE-MINMAX"
b2_contact3_time,reconsent_screening_form_appendix_b,,text,"3. Contact Attempt 3 Time:",,"24-hour time format",time,,,,"([b2_contact2_comp]='0' OR [b2_contact2_comp]='2') and [b2_positive_atmpt]='1'",,,,,,
b2_contact3_mode,reconsent_screening_form_appendix_b,,radio,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">a. Mode of Contact #3</p></div>","1, Email | 2, SMS text | 3, Phone call | 4, In-person",,,,,,[b2_contact3_date]<>'',,,,,,
b2_staff_3,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">b. Interviewer Initials #3:</p></div>",,,alpha_only,,,,[b2_contact3_date]<>'',,,,,," @CHARLIMIT='3'"
b2_contact3_comp,reconsent_screening_form_appendix_b,,radio,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">c. Was contact made on third attempt?</p></div>","1, Yes | 2, Yes, but asked for reschedule | 0, No",,,,,,[b2_contact3_date]<>'',,RH,,,,
b2_resch_date_3,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 80px;"">i. Reschedule Date:</p></div>",,mm-dd-yyyy,date_mdy,[b2_contact3_date],,,"[b2_contact3_comp]='2'  and [b2_positive_atmpt]='1'",,,,,," @FORCE-MINMAX"
b2_resch_time_3,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 80px;"">i. Reschedule Time:</p></div>",,"24-hour time format",time,,,,"[b2_contact3_comp]='2'  and [b2_positive_atmpt]='1'",,,,,,
b2_intro,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>Say: <span style=""font-weight: normal;"">[b2_calctext_6] had previously agreed to volunteer to be part of our study, which is helping inform how long people can spread COVID-19 in nursing homes and help guide CDC recommendations. It has been about 6 months since you had agreed to study participation and we want to confirm [b2_calctext_1] still eligible and want to participate. Is now a good time to talk to you about this study again?</span> <br /><br />[If yes, proceed below. If not, determine another time that would be convenient for them, update in the contact attempts section. Mark as refusal if state they do not want to participate in question E1].</p></div>",,,,,,,[b2_positive_atmpt]='1',,,,,,
b2_intro_2,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>Say: <span style=""font-weight: normal;"">We are going to be assisting your nursing home with some of their normal testing measures to help reduce the spread of COVID-19 in the facility. This means if someone around you tests positive for COVID-19, we will test you for COVID-19. If you test negative, testing will be every two days for a limited time period according to nursing home and public health recommendations.</span></p> <p style=""margin-bottom: 0in; line-height: normal;""><span style=""font-weight: normal;"">If you agree to be part of this study, we will review your nursing home chart to get needed information and a member of the study team may ask you a few questions if we need additional information. If you test positive, you will be asked to provide two nasal swabs every day for 14 days. You will then have an option to continue testing for up to 3 months. This testing is completely voluntary, and you will be reimbursed for providing swabs as part of the study. At the time of testing, we review your chart to get information about your illness including COVID-19 treatments and a member of the study team may ask a few questions on whether you have active symptoms . Again, participation in this part of the study is completely voluntary and you will be compensated for providing swabs. </span></p></div>",,,,,,,"([b2_contact1_comp]='1' or [b2_contact2_comp]='1' or [b2_contact3_comp]='1' or [b2_contact1_comp]='2' or [b2_contact2_comp]='2' or [b2_contact3_comp]='2')  and [b2_positive_atmpt]='1'",,,,,,
b2_ask,reconsent_screening_form_appendix_b,,radio,"1. Can I ask you some screening questions to see if [b2_calctext_1] eligible and tell you more about the study? This should take about 5 minutes.","1, Yes | 0, No",,,,,,"([b2_contact1_comp]='1' or [b2_contact2_comp]='1' or [b2_contact3_comp]='1')  and [b2_positive_atmpt]='1'",y,LH,,,,
b2_no,reconsent_screening_form_appendix_b,,radio,"1a. Do you mind telling me the reason you do not want to learn more about the study? 
[Interviewer: Do not read options out loud]","1, Too busy | 2, Not interested | 3, Too sick | 4, Participating in another research study of COVID-19 | 66, Other, specify: {b2_no_spec}",,,,,,"[b2_ask] = '0'",,LV,,,,
b2_no_spec,reconsent_screening_form_appendix_b,,text,"Other, specify",,,,,,,"[b2_no] = '66'",,LV,,,,
b2_e_q1_r,reconsent_screening_form_appendix_b,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;""><strong>F. Eligibility Screening Questions for Residents</strong></span></h6></div>",radio,"<div class=""rich-text-field-label""><p>1. [b2_calctext_2] willing to complete the following procedures? </p> <ul> <li>Provide additional nasal swabs if [b2_calctext_3] get COVID-19? This would mean daily swabs for 2 weeks and then twice weekly for 2 weeks and weekly for up to 3 months if you agree to long term testing</li> <li>Answer short questions regarding COVID-19 risk factors and illness symptoms and treatments upon receiving a positive COVID-19 result</li> <li>Allow access to [b2_calctext_4] health and other nursing home records in order to obtain demographic and health information?</li> </ul></div>","1, Yes | 0, No",,,,,,"[b2_ask] = '1' and [b2_p_type]='1'",y,LH,,,,
b2_e_q2_r,reconsent_screening_form_appendix_b,,radio,"2. [b2_calctext_2] able to read and understand English?  ","1, Yes | 0, No",,,,,,"[b2_e_q1_r] = '1'",y,LH,,,,
b2_e_q1_s,reconsent_screening_form_appendix_b,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;""><strong>G. Eligibility Screening Questions for Staff</strong></span></h6></div>",radio,"<div class=""rich-text-field-label""><p>1. Are you willing to complete the following procedures? </p> <ul> <li>Answer questions about demographic, medical history, and possible COVID-19 exposure factors. This survey should take no more than 30 minutes and can be completed on your computer or phone.</li> <li>Provide additional nasal swabs if you get COVID-19? This would mean daily swabs for up to 14 days and then twice weekly swabs for two weeks and weekly testing for up to 3 months if you agree to long term testing. These tests would be sent to your home if you are not in the nursing home.</li> <li>Answer short questions regarding COVID-19 risk factors and illness symptoms and treatments upon receiving a positive COVID-19 result. This would be a short survey that can be completed on your own time by computer or phone in under 5 minutes.</li> </ul></div>","1, Yes | 0, No",,,,,,"[b2_ask] = '1' and [b2_p_type]='2'",y,LH,,,,
b2_e_q2_s,reconsent_screening_form_appendix_b,,radio,"2. Are you currently employed or contracted on-site by [b2_facility] facility? ","1, Yes | 0, No",,,,,,"[b2_e_q1_s] = '1'",y,LH,,,,
b2_e_q3_s,reconsent_screening_form_appendix_b,,radio,"3. Are you able to read and understand English?  ","1, Yes | 0, No",,,,,,"[b2_e_q2_s] = '1'",y,LH,,,,
b2_eligibility,reconsent_screening_form_appendix_b,,calc,"Eligibility Calculator","if(([b2_e_q1_r]='1' AND [b2_e_q2_r]='1') OR ([b2_e_q1_s]='1' AND [b2_e_q2_s]='1' AND [b2_e_q3_s]='1'), 1, if([b2_e_q1_r]='0' OR [b2_e_q2_r]='0' OR [b2_e_q1_s]='0' OR [b2_e_q2_s]='0' OR [b2_e_q3_s]='0', 0, ''))",,,,,,,,,,,," @HIDDEN"
b2_e_desc,reconsent_screening_form_appendix_b,"<div class=""rich-text-field-label""><h6><span style=""text-decoration: underline;""><strong>H. </strong><strong>IF PARTICIPANT IS ELIGIBLE FOR ENROLLMENT</strong></span></h6></div>",descriptive,"<div class=""rich-text-field-label""><p>SAY: <span style=""font-weight: normal;"">[b2_calctext_5] eligible to join the study. As I mentioned earlier, we are inviting current nursing home residents and staff to participate in a study investigating COVID-19 within nursing home settings.</span></p></div>",,,,,,,[b2_eligibility]=1,,,,,,
b2_review_consent,reconsent_screening_form_appendix_b,,radio,"1. May I go over the consent and see if [b2_calctext_3] would like to enroll in the study? This should take about 10-15 minutes; I will leave a written copy for you to review afterwards.  ","1, Yes | 2, Yes, but not now | 0, No",,,,,,[b2_eligibility]=1,y,LH,,,,
b2_rev_later,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">1a. Review consent at a later date:</p></div>",,,,,,,"[b2_review_consent] = '2'",,,,,,
b2_rev_later_date,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">1ai. Date to review consent:</p></div>",,mm-dd-yyyy,date_mdy,today,,,"[b2_review_consent] = '2'",y,,,,," @FORCE-MINMAX"
b2_rev_later_time,reconsent_screening_form_appendix_b,,text,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">1aii. Time to review consent:</p></div>",,"24-hour time format",time,now,,,"[b2_review_consent] = '2'",y,,,,," @HIDEBUTTON @FORCE-MINMAX"
b2_rev_later_note,reconsent_screening_form_appendix_b,,notes,"<div class=""rich-text-field-label""><p style=""padding-left: 40px;"">1aiii. Notes for scheduling in-person consent, if applicable: </p></div>",,,,,,,"[b2_review_consent] = '2'",,,,,,
b2_no_end,reconsent_screening_form_appendix_b,"<h6><span style=""text-decoration: underline;""><strong>I. CONCLUDING SCRIPT </strong></span></h6>",descriptive,"<div class=""rich-text-field-label""><p>SAY: <span style=""font-weight: normal;"">Thank you for your time.</span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_ask] = '0'",,,,,,
b2_e_q1_r_no,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>STOP, PERSON NOT ELIGIBLE FOR STUDY. SAY: <span style=""font-weight: normal;"">Thank you for your time. Unfortunately, [b2_calctext_1] not eligible for the study because we are looking for people who are willing to participate in the study procedures.</span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_e_q1_r] = '0'",,,,,,
b2_e_q2_r_no,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>STOP, PERSON NOT ELIGIBLE FOR STUDY. SAY: <span style=""font-weight: normal;"">Thank you for your time. Unfortunately, [b2_calctext_1] not eligible for the study because we are looking for participants who can read and understand English.</span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_e_q2_r] = '0'",,,,,,
b2_e_q1_s_no,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>STOP, PERSON NOT ELIGIBLE FOR STUDY. SAY: <span style=""font-weight: normal;"">Thank you for your time. Unfortunately, you are not eligible for the study because we are looking for people who are willing to participate in the study procedures.</span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_e_q1_s] = '0'",,,,,,
b2_e_q2_s_no,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>STOP, PERSON NOT ELIGIBLE FOR STUDY. SAY: <span style=""font-weight: normal;"">Thank you for your time. Unfortunately, you are not eligible for the study because we are looking for employees or contractors who work on-site.</span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_e_q2_s] = '0'",,,,,,
b2_e_q3_s_no,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p><strong>STOP, PERSON NOT ELIGIBLE FOR STUDY. SAY: </strong><span style=""font-weight: normal;"">Thank you for your time. Unfortunately, you are not eligible for the study because we are looking for employees who are able to read and understand English. </span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_e_q3_s] = '0'",,,,,,
b2_concludingscript1,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>SAY: <span style=""font-weight: normal;"">We will now review the study consent document. Do you have any questions for me before we </span><span style=""font-weight: normal;"">start?</span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_review_consent] = '1'",,,,,,
b2_concludingscript2,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>SAY: <span style=""font-weight: normal;"">Thank you for your time. We look forward to meeting with you on [b2_rev_later_date] [b2_rev_later_time] </span>[LOCATION SPECIFIED THROUGH SITE-SPECIFIC SCHEDULING PROCESSES AS DETAILED IN THE LOCAL CONTEXT SECTION OF THE STANDARD OPERATING PROCEDURES]<span style=""font-weight: normal;"">. During this time, we will go over consent and next steps. Do you have any questions for me now?</span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_review_consent] = '2'",,,,,,
b2_concludingscript3,reconsent_screening_form_appendix_b,,descriptive,"<div class=""rich-text-field-label""><p>SAY: <span style=""font-weight: normal;"">Thank you for your time.</span></p> <p>[END OF INTERVIEW]</p></div>",,,,,,,"[b2_review_consent] = '0'",,,,,,
b2_complete_dt,reconsent_screening_form_appendix_b,,text,"Form Completion Date/Time (click now)",,,datetime_mdy,now,,,"[b2_review_consent]<>'' OR [b2_eligibility]='0' OR [b2_ask]='0'",,,,,," @FORCE-MINMAX"
b2_incomplete,reconsent_screening_form_appendix_b,,descriptive,"[DON'T READ: Mark the form as ""Incomplete"" and select ""Save & Exit Record"".]",,,,,,,"([b2_contact1_comp]='0' and [b2_contact2_comp]='') OR ([b2_contact2_comp]='0' and [b2_contact3_comp]='') OR 
([b2_contact1_comp]='2' and [b2_contact2_comp]='') OR ([b2_contact2_comp]='2' and [b2_contact3_comp]='')",,,,,,
b2_complete,reconsent_screening_form_appendix_b,,descriptive,"[DON'T READ: Mark the form as ""Complete"" and select ""Save & Exit Record"".]",,,,,,,"[b2_review_consent]<>'' OR [b2_eligibility]='0' OR [b2_ask]='0'",,,,,,
c2_info,reconsent_script_to_accompanying_verbal_consent_fo,"<h6><span style=""font-weight: normal;"">ADMINISTRATIVE INFORMATION</span></h6>",descriptive,"Study Site: [study_forms_arm_1][b_site]
Name of Nursing Home: [study_forms_arm_1][b_facility]
Participant ID: [study_forms_arm_1][study_id]",,,,,,,,,,,,,
c2_stop,reconsent_script_to_accompanying_verbal_consent_fo,,descriptive,"<div class=""rich-text-field-label""><pre><span style=""color: #e03e2d;"">PARTICIPANT WAS FOUND INELIGIBLE BASED ON THE RESPONSES IN THE RECONSENT SCREENING FORM. </span><br /><span style=""color: #e03e2d;"">THIS FORM IS NOT APPLICABLE.</span></pre></div>",,,,,,,"[study_forms_arm_1][b2_eligibility] = '0'",,,,,,
c2_stop_2,reconsent_script_to_accompanying_verbal_consent_fo,,descriptive,"<div class=""rich-text-field-label""><pre><span style=""color: #e03e2d;"">ELIGIBILITY IS INCOMPLETE. <br />PLEASE GO BACK TO THE RECONSENT SCREENING FORM BEFORE COMPLETING THE CONSENT FORM.</span></pre></div>",,,,,,,"[study_forms_arm_1][b2_eligibility] = ''",,,,,,
c2_verify,reconsent_script_to_accompanying_verbal_consent_fo,,radio,"<div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">Participant Information</span></p> <p><span style=""font-weight: normal;"">Full Name: [study_forms_arm_1][b2_fname] [study_forms_arm_1][b2_lname]</span></p> <p><span style=""font-weight: normal;"">Participant ID: [study_forms_arm_1][study_id]</span></p></div>","1, Verified",,,,,,"[study_forms_arm_1][b2_eligibility] = '1'",,,,,,
c2_server_date,reconsent_script_to_accompanying_verbal_consent_fo,,text,"Auto Server Date",,,date_mdy,,,,,,,,,," @HIDDEN @TODAY-SERVER"
c2_title,reconsent_script_to_accompanying_verbal_consent_fo,"<div class=""rich-text-field-label""><h6 style=""text-align: center;"">Appendix C4. Script to Accompanying Verbal Consent Forms</h6></div>",descriptive,"<div class=""rich-text-field-label""><h6 style=""margin-bottom: 6.0pt; margin-top: 0in; tab-stops: 63.0pt;""><strong>Study Title:</strong> SARS-CoV-2 Shedding in Nursing Home Staff and Residents (INHERENT) Study</h6> <p>Lay title: <span style=""font-weight: normal;"">Understanding COVID-19 in nursing homes</span></p> <p style=""margin-bottom: 6.0pt; margin-top: 0in; tab-stops: 63.0pt;""><span style=""font-weight: normal;""><strong>Principal Investigator</strong>: [Site PI]</span></p> <p style=""margin-bottom: 6.0pt; margin-top: 0in; tab-stops: 63.0pt;""><span style=""font-weight: normal;""><strong>Address</strong>: [Site Address]</span></p> <p style=""margin-bottom: 6.0pt; margin-top: 0in; tab-stops: 63.0pt;""><span style=""font-weight: normal;""><strong>Telephone</strong>: [Site Phone]</span></p></div>",,,,,,,"[c2_verify] = '1'",,,,,,
c2_calctext_1,reconsent_script_to_accompanying_verbal_consent_fo,,text,"[You are / The resident is]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([study_forms_arm_1][b2_p_type]='2' OR ([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='0'), 'You are', if([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='1','The resident is', '[You are / The resident is]')))"
c2_calctext_2,reconsent_script_to_accompanying_verbal_consent_fo,,text,"[Your / The resident's]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([study_forms_arm_1][b2_p_type]='2' OR ([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='0'), 'Your', if([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='1',""The resident's"", ""[Your / The resident's]"")))"
c2_calctext_3,reconsent_script_to_accompanying_verbal_consent_fo,,text,"[you / the resident]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([study_forms_arm_1][b2_p_type]='2' OR ([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='0'), 'you', if([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='1','the resident', '[you / the resident]')))"
c2_calctext_4,reconsent_script_to_accompanying_verbal_consent_fo,,text,"[your / the resident's]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([study_forms_arm_1][b2_p_type]='2' OR ([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='0'), 'your', if([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='1',""the resident's"", ""[your / the resident's]"")))"
c2_calctext_5,reconsent_script_to_accompanying_verbal_consent_fo,,text,"[you are / the resident is]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([study_forms_arm_1][b2_p_type]='2' OR ([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='0'), 'you are', if([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='1','the resident is', '[you are / the resident is]')))"
c2_calctext_6,reconsent_script_to_accompanying_verbal_consent_fo,,text,"[You / The resident]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([study_forms_arm_1][b2_p_type]='2' OR ([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='0'), 'You', if([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='1','The resident', '[You / The resident]')))"
c2_calctext_7,reconsent_script_to_accompanying_verbal_consent_fo,,text,"[your / their]",,,,,,,,,,,,," @HIDDEN @CALCTEXT(if([study_forms_arm_1][b2_p_type]='2' OR ([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='0'), 'your', if([study_forms_arm_1][b2_p_type]='1' and [study_forms_arm_1][b2_assist]='1','their', '[your / their]')))"
